doc_id,error_code,title,product_line,device_model,firmware_version,issue_type,risk_level,possible_reason,standard_steps,source_type
ERR-014,E204,版本回退受限,环境传感器,TH-30,v2.0.1,版本回退受限,中,目标版本低于最小兼容版本,定位 E204 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-015,E205,升级后配置迁移失败,环境传感器,AQ-20,v2.3.0,升级后配置迁移失败,高,旧版本配置字段缺失或格式不兼容,定位 E205 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-016,E206,Bootloader 启动失败,振动监测,VB-100,v1.2.0,Bootloader 启动失败,高,升级包损坏或存储分区异常,定位 E206 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-017,E207,灰度策略未命中,振动监测,VB-300,v1.4.3,灰度策略未命中,低,设备不在灰度批次或标签条件不匹配,定位 E207 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-018,E208,固件下载超时,电力采集,PM-80,v2.0.1,固件下载超时,中,下载源慢、网络丢包或代理配置错误,定位 E208 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-019,E301,温度探头断路,电力采集,PM-200,v2.3.0,温度探头断路,中,探头接线松动或传感器损坏,定位 E301 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-020,E302,湿度读数越界,工业网关,GW-100,v1.2.0,湿度读数越界,中,探头进水、校准系数错误或量程设置异常,定位 E302 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-021,E303,振动采样溢出,工业网关,GW-200,v1.4.3,振动采样溢出,高,冲击过大、量程过低或采样芯片异常,定位 E303 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-022,E304,电压相序错误,工业网关,GW-500,v2.0.1,电压相序错误,高,三相接线顺序错误或互感器方向反接,定位 E304 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-023,E305,采样周期非法,环境传感器,TH-10,v2.3.0,采样周期非法,低,平台下发周期低于设备支持下限,定位 E305 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-024,E306,校准参数缺失,环境传感器,TH-30,v1.2.0,校准参数缺失,中,设备恢复出厂后未重新写入校准表,定位 E306 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-025,E307,传感器总线冲突,环境传感器,AQ-20,v1.4.3,传感器总线冲突,中,RS485 地址重复或终端电阻配置错误,定位 E307 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-026,E308,电流通道无数据,振动监测,VB-100,v2.0.1,电流通道无数据,中,互感器未接入、通道关闭或倍率为 0,定位 E308 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-027,E401,告警规则执行失败,振动监测,VB-300,v2.3.0,告警规则执行失败,中,规则表达式错误或字段名不存在,定位 E401 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-028,E402,消息队列积压,电力采集,PM-80,v1.2.0,消息队列积压,高,上报峰值过高或消费服务异常,定位 E402 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-029,E403,数据写入超时,电力采集,PM-200,v1.4.3,数据写入超时,高,时序库压力过大或索引写入阻塞,定位 E403 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-030,E404,设备影子版本冲突,工业网关,GW-100,v2.0.1,设备影子版本冲突,中,多端同时修改配置导致版本号不一致,定位 E404 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
