sample_id,timestamp,device_id,product_line,device_model,firmware_version,online,mqtt_connected,heartbeat_age_sec,rssi_dbm,battery_percent,temperature_c,humidity_percent,vibration_mm_s,voltage_v,error_code,last_upgrade_status,customer_risk_signal,expected_category,expected_priority,expected_route
TEL-013,2026-04-01T11:36:00,DEV-GW500-002,gateway,GW-500,v2.3.0,False,False,1282,-63,55,28.0,61.1,1.64,228.3,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-014,2026-04-01T11:48:00,DEV-TH030-003,sensor,TH-30,v1.4.3,True,True,6,-75,49,23.1,49.8,2.15,223.0,,idle,,normal,P3,direct_answer
TEL-015,2026-04-01T12:00:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,False,False,916,-108,51,25.5,54.2,1.57,222.3,E104,idle,,device_offline,P1,handoff
TEL-016,2026-04-01T12:12:00,DEV-VB300-005,vibration,VB-300,v2.0.1,True,False,335,-84,53,31.8,66.3,1.06,231.6,E102,idle,,mqtt_timeout,P2,review
TEL-017,2026-04-01T12:24:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,True,True,12,-57,13,19.9,42.4,2.83,222.3,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-018,2026-04-01T12:36:00,DEV-GW200-001,gateway,GW-200,v2.0.1,True,True,68,-78,69,65.6,95.5,1.0,230.4,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-019,2026-04-01T12:48:00,DEV-GW500-002,gateway,GW-500,v2.3.0,True,True,40,-61,85,26.9,67.2,0.85,267.8,E304,idle,,power_sampling_risk,P1,handoff
TEL-020,2026-04-01T13:00:00,DEV-TH030-003,sensor,TH-30,v1.4.3,False,False,576,-66,87,23.7,65.3,1.47,221.3,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-021,2026-04-01T13:12:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,True,True,47,-53,92,21.7,68.1,1.91,220.6,,idle,,normal,P3,direct_answer
TEL-022,2026-04-01T13:24:00,DEV-VB300-005,vibration,VB-300,v2.0.1,False,False,1492,-99,55,28.7,67.2,1.21,226.6,E104,idle,,device_offline,P1,handoff
TEL-023,2026-04-01T13:36:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,True,False,369,-90,60,26.6,54.7,0.64,220.0,E102,idle,,mqtt_timeout,P2,review
TEL-024,2026-04-01T13:48:00,DEV-GW200-001,gateway,GW-200,v2.0.1,True,True,24,-66,13,22.0,61.9,1.31,230.5,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-025,2026-04-01T14:00:00,DEV-GW500-002,gateway,GW-500,v2.3.0,True,True,34,-54,49,60.1,93.7,2.16,221.8,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-026,2026-04-01T14:12:00,DEV-TH030-003,sensor,TH-30,v1.4.3,True,True,35,-63,45,25.1,36.1,3.16,262.4,E304,idle,,power_sampling_risk,P1,handoff
TEL-027,2026-04-01T14:24:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,False,False,497,-57,92,23.3,65.5,2.53,220.8,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-028,2026-04-01T14:36:00,DEV-VB300-005,vibration,VB-300,v2.0.1,True,True,29,-61,87,21.8,46.2,0.34,220.9,,idle,,normal,P3,direct_answer
TEL-029,2026-04-01T14:48:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,False,False,2323,-92,50,25.3,61.0,2.11,229.8,E104,idle,,device_offline,P1,handoff
TEL-030,2026-04-01T15:00:00,DEV-GW200-001,gateway,GW-200,v2.0.1,True,False,220,-85,49,29.7,69.8,3.14,231.6,E102,idle,,mqtt_timeout,P2,review
TEL-031,2026-04-01T15:12:00,DEV-GW500-002,gateway,GW-500,v2.3.0,True,True,20,-60,11,29.6,50.9,1.04,228.6,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-032,2026-04-01T15:24:00,DEV-TH030-003,sensor,TH-30,v1.4.3,True,True,50,-56,76,64.1,90.8,1.85,220.0,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-033,2026-04-01T15:36:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,True,True,8,-74,67,25.8,58.0,2.76,266.7,E304,idle,,power_sampling_risk,P1,handoff
TEL-034,2026-04-01T15:48:00,DEV-VB300-005,vibration,VB-300,v2.0.1,False,False,1185,-62,89,28.6,40.5,1.7,230.6,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-035,2026-04-01T16:00:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,True,True,42,-54,75,19.7,36.6,2.89,229.8,,idle,,normal,P3,direct_answer
TEL-036,2026-04-01T16:12:00,DEV-GW200-001,gateway,GW-200,v2.0.1,False,False,1326,-98,69,21.2,69.4,0.96,226.9,E104,idle,,device_offline,P1,handoff
TEL-037,2026-04-01T16:24:00,DEV-GW500-002,gateway,GW-500,v2.3.0,True,False,196,-88,79,27.5,48.9,2.09,218.3,E102,idle,,mqtt_timeout,P2,review
TEL-038,2026-04-01T16:36:00,DEV-TH030-003,sensor,TH-30,v1.4.3,True,True,60,-68,16,23.4,53.0,3.18,225.5,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-039,2026-04-01T16:48:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,True,True,11,-54,83,66.3,88.1,0.69,224.0,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-040,2026-04-01T17:00:00,DEV-VB300-005,vibration,VB-300,v2.0.1,True,True,19,-73,48,24.4,42.0,2.0,267.3,E304,idle,,power_sampling_risk,P1,handoff
TEL-041,2026-04-01T17:12:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,False,False,341,-50,70,30.1,45.4,3.11,226.2,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-042,2026-04-01T17:24:00,DEV-GW200-001,gateway,GW-200,v2.0.1,True,True,32,-73,48,19.1,42.3,2.78,231.9,,idle,,normal,P3,direct_answer
TEL-043,2026-04-01T17:36:00,DEV-GW500-002,gateway,GW-500,v2.3.0,False,False,1811,-105,61,19.9,45.8,0.65,224.5,E104,idle,,device_offline,P1,handoff
TEL-044,2026-04-01T17:48:00,DEV-TH030-003,sensor,TH-30,v1.4.3,True,False,236,-87,74,30.0,60.8,3.14,229.4,E102,idle,,mqtt_timeout,P2,review
TEL-045,2026-04-01T18:00:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,True,True,56,-56,14,27.3,40.8,1.4,226.1,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-046,2026-04-01T18:12:00,DEV-VB300-005,vibration,VB-300,v2.0.1,True,True,52,-61,94,70.0,95.9,2.77,231.5,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-047,2026-04-01T18:24:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,True,True,51,-76,53,23.2,65.7,1.45,255.2,E304,idle,,power_sampling_risk,P1,handoff
TEL-048,2026-04-01T18:36:00,DEV-GW200-001,gateway,GW-200,v2.0.1,False,False,543,-65,85,25.1,59.1,1.2,218.7,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-049,2026-04-01T18:48:00,DEV-GW500-002,gateway,GW-500,v2.3.0,True,True,9,-50,83,25.8,67.9,1.08,220.4,,idle,,normal,P3,direct_answer
TEL-050,2026-04-01T19:00:00,DEV-TH030-003,sensor,TH-30,v1.4.3,False,False,2064,-94,50,27.0,48.9,0.59,223.0,E104,idle,,device_offline,P1,handoff
TEL-051,2026-04-01T19:12:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,True,False,508,-90,89,21.9,69.4,0.35,223.2,E102,idle,,mqtt_timeout,P2,review
TEL-052,2026-04-01T19:24:00,DEV-VB300-005,vibration,VB-300,v2.0.1,True,True,69,-76,8,26.1,64.0,1.51,225.6,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-053,2026-04-01T19:36:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,True,True,30,-62,54,58.6,95.3,1.1,225.7,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-054,2026-04-01T19:48:00,DEV-GW200-001,gateway,GW-200,v2.0.1,True,True,57,-74,74,22.8,53.7,2.11,253.4,E304,idle,,power_sampling_risk,P1,handoff
TEL-055,2026-04-01T20:00:00,DEV-GW500-002,gateway,GW-500,v2.3.0,False,False,1139,-75,67,26.5,40.5,2.03,231.4,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-056,2026-04-01T20:12:00,DEV-TH030-003,sensor,TH-30,v1.4.3,True,True,6,-74,81,21.6,45.3,2.29,223.2,,idle,,normal,P3,direct_answer
TEL-057,2026-04-01T20:24:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,False,False,1378,-107,82,22.3,64.9,1.08,218.3,E104,idle,,device_offline,P1,handoff
TEL-058,2026-04-01T20:36:00,DEV-VB300-005,vibration,VB-300,v2.0.1,True,False,518,-91,55,22.0,67.6,0.24,225.9,E102,idle,,mqtt_timeout,P2,review
TEL-059,2026-04-01T20:48:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,True,True,33,-50,11,20.3,43.9,0.48,218.1,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-060,2026-04-01T21:00:00,DEV-GW200-001,gateway,GW-200,v2.0.1,True,True,44,-69,65,68.8,91.0,0.49,222.2,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-061,2026-04-01T21:12:00,DEV-GW500-002,gateway,GW-500,v2.3.0,True,True,57,-78,45,21.6,43.8,1.96,252.7,E304,idle,,power_sampling_risk,P1,handoff
TEL-062,2026-04-01T21:24:00,DEV-TH030-003,sensor,TH-30,v1.4.3,False,False,1449,-60,91,20.3,58.9,1.65,229.6,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-063,2026-04-01T21:36:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,True,True,67,-67,94,20.4,41.4,2.55,228.7,,idle,,normal,P3,direct_answer
TEL-064,2026-04-01T21:48:00,DEV-VB300-005,vibration,VB-300,v2.0.1,False,False,1814,-97,66,21.4,50.1,1.65,228.0,E104,idle,,device_offline,P1,handoff
TEL-065,2026-04-01T22:00:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,True,False,455,-90,78,22.3,69.8,0.45,227.1,E102,idle,,mqtt_timeout,P2,review
TEL-066,2026-04-01T22:12:00,DEV-GW200-001,gateway,GW-200,v2.0.1,True,True,8,-51,8,31.2,43.2,2.3,230.3,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-067,2026-04-01T22:24:00,DEV-GW500-002,gateway,GW-500,v2.3.0,True,True,65,-61,96,68.3,92.2,2.76,229.0,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-068,2026-04-01T22:36:00,DEV-TH030-003,sensor,TH-30,v1.4.3,True,True,66,-66,49,31.3,47.6,1.87,256.5,E304,idle,,power_sampling_risk,P1,handoff
TEL-069,2026-04-01T22:48:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,False,False,1715,-58,54,19.5,64.7,3.12,225.7,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-070,2026-04-01T23:00:00,DEV-VB300-005,vibration,VB-300,v2.0.1,True,True,41,-50,80,19.9,51.7,0.58,218.9,,idle,,normal,P3,direct_answer
TEL-071,2026-04-01T23:12:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,False,False,2207,-99,69,30.5,46.4,1.58,218.6,E104,idle,,device_offline,P1,handoff
TEL-072,2026-04-01T23:24:00,DEV-GW200-001,gateway,GW-200,v2.0.1,True,False,446,-93,84,28.5,46.8,0.71,226.0,E102,idle,,mqtt_timeout,P2,review
TEL-073,2026-04-01T23:36:00,DEV-GW500-002,gateway,GW-500,v2.3.0,True,True,69,-58,17,23.2,39.3,2.27,225.7,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-074,2026-04-01T23:48:00,DEV-TH030-003,sensor,TH-30,v1.4.3,True,True,32,-73,88,58.2,89.3,0.76,225.6,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-075,2026-04-02T00:00:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,True,True,5,-68,69,31.2,57.9,0.78,262.8,E304,idle,,power_sampling_risk,P1,handoff
TEL-076,2026-04-02T00:12:00,DEV-VB300-005,vibration,VB-300,v2.0.1,False,False,1221,-51,85,22.6,42.0,2.66,221.3,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-077,2026-04-02T00:24:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,True,True,62,-54,67,22.5,45.3,2.63,223.2,,idle,,normal,P3,direct_answer
TEL-078,2026-04-02T00:36:00,DEV-GW200-001,gateway,GW-200,v2.0.1,False,False,607,-108,95,19.7,61.1,2.55,219.8,E104,idle,,device_offline,P1,handoff
TEL-079,2026-04-02T00:48:00,DEV-GW500-002,gateway,GW-500,v2.3.0,True,False,248,-88,84,26.7,49.6,0.64,225.0,E102,idle,,mqtt_timeout,P2,review
TEL-080,2026-04-02T01:00:00,DEV-TH030-003,sensor,TH-30,v1.4.3,True,True,37,-64,10,23.9,52.9,1.08,230.7,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-081,2026-04-02T01:12:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,True,True,58,-68,51,71.8,89.1,1.72,227.8,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-082,2026-04-02T01:24:00,DEV-VB300-005,vibration,VB-300,v2.0.1,True,True,53,-65,56,27.6,36.8,0.69,254.1,E304,idle,,power_sampling_risk,P1,handoff
TEL-083,2026-04-02T01:36:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,False,False,1220,-52,57,22.3,65.3,0.72,221.7,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-084,2026-04-02T01:48:00,DEV-GW200-001,gateway,GW-200,v2.0.1,True,True,44,-75,94,24.9,66.9,1.42,228.8,,idle,,normal,P3,direct_answer
TEL-085,2026-04-02T02:00:00,DEV-GW500-002,gateway,GW-500,v2.3.0,False,False,1376,-103,67,21.9,40.1,0.99,218.7,E104,idle,,device_offline,P1,handoff
TEL-086,2026-04-02T02:12:00,DEV-TH030-003,sensor,TH-30,v1.4.3,True,False,197,-84,48,30.0,41.8,1.67,220.1,E102,idle,,mqtt_timeout,P2,review
TEL-087,2026-04-02T02:24:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,True,True,42,-52,13,25.3,48.1,0.29,230.0,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-088,2026-04-02T02:36:00,DEV-VB300-005,vibration,VB-300,v2.0.1,True,True,67,-61,93,60.3,95.3,2.08,227.7,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-089,2026-04-02T02:48:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,True,True,37,-63,89,19.0,50.9,2.27,261.7,E304,idle,,power_sampling_risk,P1,handoff
TEL-090,2026-04-02T03:00:00,DEV-GW200-001,gateway,GW-200,v2.0.1,False,False,824,-70,64,20.3,52.8,1.42,222.6,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-091,2026-04-02T03:12:00,DEV-GW500-002,gateway,GW-500,v2.3.0,True,True,19,-77,91,30.7,64.3,3.05,219.7,,idle,,normal,P3,direct_answer
TEL-092,2026-04-02T03:24:00,DEV-TH030-003,sensor,TH-30,v1.4.3,False,False,1775,-107,85,24.5,40.1,1.84,229.1,E104,idle,,device_offline,P1,handoff
TEL-093,2026-04-02T03:36:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,True,False,475,-90,87,19.7,61.1,1.06,224.0,E102,idle,,mqtt_timeout,P2,review
TEL-094,2026-04-02T03:48:00,DEV-VB300-005,vibration,VB-300,v2.0.1,True,True,44,-53,18,29.2,50.8,0.32,226.4,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-095,2026-04-02T04:00:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,True,True,49,-56,52,71.1,92.5,1.56,218.9,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-096,2026-04-02T04:12:00,DEV-GW200-001,gateway,GW-200,v2.0.1,True,True,44,-76,69,22.5,44.8,2.43,263.6,E304,idle,,power_sampling_risk,P1,handoff
TEL-097,2026-04-02T04:24:00,DEV-GW500-002,gateway,GW-500,v2.3.0,False,False,356,-49,55,24.9,44.9,0.73,230.9,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-098,2026-04-02T04:36:00,DEV-TH030-003,sensor,TH-30,v1.4.3,True,True,44,-56,90,19.1,51.2,2.47,223.8,,idle,,normal,P3,direct_answer
TEL-099,2026-04-02T04:48:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,False,False,1491,-97,84,21.7,50.2,2.3,220.8,E104,idle,,device_offline,P1,handoff
TEL-100,2026-04-02T05:00:00,DEV-VB300-005,vibration,VB-300,v2.0.1,True,False,292,-85,66,20.2,59.3,1.94,224.1,E102,idle,,mqtt_timeout,P2,review
TEL-101,2026-04-02T05:12:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,True,True,48,-51,8,30.1,65.7,1.11,229.2,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-102,2026-04-02T05:24:00,DEV-GW200-001,gateway,GW-200,v2.0.1,True,True,42,-63,63,65.7,94.5,1.31,229.6,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-103,2026-04-02T05:36:00,DEV-GW500-002,gateway,GW-500,v2.3.0,True,True,9,-61,87,24.9,35.2,2.82,263.8,E304,idle,,power_sampling_risk,P1,handoff
TEL-104,2026-04-02T05:48:00,DEV-TH030-003,sensor,TH-30,v1.4.3,False,False,1758,-66,80,24.3,55.3,2.51,222.7,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-105,2026-04-02T06:00:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,True,True,46,-56,72,24.5,52.7,1.0,231.6,,idle,,normal,P3,direct_answer
TEL-106,2026-04-02T06:12:00,DEV-VB300-005,vibration,VB-300,v2.0.1,False,False,1519,-104,61,25.4,43.8,2.25,219.7,E104,idle,,device_offline,P1,handoff
TEL-107,2026-04-02T06:24:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,True,False,518,-91,90,19.3,57.0,1.54,221.0,E102,idle,,mqtt_timeout,P2,review
TEL-108,2026-04-02T06:36:00,DEV-GW200-001,gateway,GW-200,v2.0.1,True,True,40,-52,10,32.0,62.1,2.21,227.7,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-109,2026-04-02T06:48:00,DEV-GW500-002,gateway,GW-500,v2.3.0,True,True,34,-61,86,64.1,89.7,2.64,227.9,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-110,2026-04-02T07:00:00,DEV-TH030-003,sensor,TH-30,v1.4.3,True,True,5,-78,61,30.7,65.8,0.44,254.2,E304,idle,,power_sampling_risk,P1,handoff
TEL-111,2026-04-02T07:12:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,False,False,936,-48,45,20.7,63.4,1.12,221.4,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-112,2026-04-02T07:24:00,DEV-VB300-005,vibration,VB-300,v2.0.1,True,True,48,-75,67,19.6,54.1,1.58,222.6,,idle,,normal,P3,direct_answer
TEL-113,2026-04-02T07:36:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,False,False,780,-100,55,22.4,50.1,1.15,223.6,E104,idle,,device_offline,P1,handoff
TEL-114,2026-04-02T07:48:00,DEV-GW200-001,gateway,GW-200,v2.0.1,True,False,208,-87,94,21.9,50.3,2.16,231.1,E102,idle,,mqtt_timeout,P2,review
TEL-115,2026-04-02T08:00:00,DEV-GW500-002,gateway,GW-500,v2.3.0,True,True,43,-55,12,20.5,67.5,2.78,218.5,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-116,2026-04-02T08:12:00,DEV-TH030-003,sensor,TH-30,v1.4.3,True,True,23,-77,78,65.9,91.8,2.78,219.3,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-117,2026-04-02T08:24:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,True,True,36,-74,77,29.3,45.6,2.7,254.1,E304,idle,,power_sampling_risk,P1,handoff
TEL-118,2026-04-02T08:36:00,DEV-VB300-005,vibration,VB-300,v2.0.1,False,False,1637,-73,52,23.8,69.2,0.22,224.6,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-119,2026-04-02T08:48:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,True,True,69,-73,61,31.9,57.2,1.88,227.0,,idle,,normal,P3,direct_answer
TEL-120,2026-04-02T09:00:00,DEV-GW200-001,gateway,GW-200,v2.0.1,False,False,776,-93,64,21.1,44.9,0.6,223.7,E104,idle,,device_offline,P1,handoff
