doc_id,product_line,device_model,firmware_version,issue_type,error_code,risk_level,source_type,question,answer,standard_steps
FAQ-062,振动监测,VB-100,v2.0.1,MQTT 连接超时,E103,中,FAQ,VB-100 出现MQTT 连接超时时应该怎么排查？,针对 VB-100 的MQTT 连接超时，建议先核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略
FAQ-063,振动监测,VB-100,v2.3.0,固件升级失败,E104,高,FAQ,VB-100 出现固件升级失败时应该怎么排查？,针对 VB-100 的固件升级失败，建议先确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用
FAQ-064,振动监测,VB-100,v1.2.0,传感器采样异常,E105,中,FAQ,VB-100 出现传感器采样异常时应该怎么排查？,针对 VB-100 的传感器采样异常，建议先检查采样周期、探头接线、量程配置、校准系数和环境干扰。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查采样周期、探头接线、量程配置、校准系数和环境干扰
FAQ-065,振动监测,VB-100,v1.4.3,网关心跳丢失,E106,中,FAQ,VB-100 出现网关心跳丢失时应该怎么排查？,针对 VB-100 的网关心跳丢失，建议先查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态
FAQ-066,振动监测,VB-100,v2.0.1,设备绑定失败,E107,中,FAQ,VB-100 出现设备绑定失败时应该怎么排查？,针对 VB-100 的设备绑定失败，建议先确认 SN/IMEI 未被占用、租户信息正确、二维码未过期。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,确认 SN/IMEI 未被占用、租户信息正确、二维码未过期
FAQ-067,振动监测,VB-100,v2.3.0,电压数据异常,E108,中,FAQ,VB-100 出现电压数据异常时应该怎么排查？,针对 VB-100 的电压数据异常，建议先核对互感器方向、倍率参数、接线相序和采样通道。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,核对互感器方向、倍率参数、接线相序和采样通道
FAQ-068,振动监测,VB-100,v1.2.0,温度数据漂移,E109,中,FAQ,VB-100 出现温度数据漂移时应该怎么排查？,针对 VB-100 的温度数据漂移，建议先检查安装位置、校准日期、补偿参数和传感器老化情况。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查安装位置、校准日期、补偿参数和传感器老化情况
FAQ-069,振动监测,VB-100,v1.4.3,振动阈值误报,E110,中,FAQ,VB-100 出现振动阈值误报时应该怎么排查？,针对 VB-100 的振动阈值误报，建议先检查安装底座、阈值模板、采样频率和设备工况变化。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查安装底座、阈值模板、采样频率和设备工况变化
FAQ-070,振动监测,VB-100,v2.0.1,平台告警延迟,E201,中,FAQ,VB-100 出现平台告警延迟时应该怎么排查？,针对 VB-100 的平台告警延迟，建议先检查上报频率、消息队列积压、规则引擎状态和网络延迟。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查上报频率、消息队列积压、规则引擎状态和网络延迟
FAQ-071,振动监测,VB-300,v2.3.0,设备离线,E202,高,FAQ,VB-300 出现设备离线时应该怎么排查？,针对 VB-300 的设备离线，建议先检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间
FAQ-072,振动监测,VB-300,v1.2.0,MQTT 连接超时,E203,中,FAQ,VB-300 出现MQTT 连接超时时应该怎么排查？,针对 VB-300 的MQTT 连接超时，建议先核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略
FAQ-073,振动监测,VB-300,v1.4.3,固件升级失败,E204,高,FAQ,VB-300 出现固件升级失败时应该怎么排查？,针对 VB-300 的固件升级失败，建议先确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用
FAQ-074,振动监测,VB-300,v2.0.1,传感器采样异常,E205,中,FAQ,VB-300 出现传感器采样异常时应该怎么排查？,针对 VB-300 的传感器采样异常，建议先检查采样周期、探头接线、量程配置、校准系数和环境干扰。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查采样周期、探头接线、量程配置、校准系数和环境干扰
FAQ-075,振动监测,VB-300,v2.3.0,网关心跳丢失,E206,中,FAQ,VB-300 出现网关心跳丢失时应该怎么排查？,针对 VB-300 的网关心跳丢失，建议先查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态
FAQ-076,振动监测,VB-300,v1.2.0,设备绑定失败,E207,中,FAQ,VB-300 出现设备绑定失败时应该怎么排查？,针对 VB-300 的设备绑定失败，建议先确认 SN/IMEI 未被占用、租户信息正确、二维码未过期。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,确认 SN/IMEI 未被占用、租户信息正确、二维码未过期
FAQ-077,振动监测,VB-300,v1.4.3,电压数据异常,E208,中,FAQ,VB-300 出现电压数据异常时应该怎么排查？,针对 VB-300 的电压数据异常，建议先核对互感器方向、倍率参数、接线相序和采样通道。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,核对互感器方向、倍率参数、接线相序和采样通道
FAQ-078,振动监测,VB-300,v2.0.1,温度数据漂移,E301,中,FAQ,VB-300 出现温度数据漂移时应该怎么排查？,针对 VB-300 的温度数据漂移，建议先检查安装位置、校准日期、补偿参数和传感器老化情况。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查安装位置、校准日期、补偿参数和传感器老化情况
FAQ-079,振动监测,VB-300,v2.3.0,振动阈值误报,E302,中,FAQ,VB-300 出现振动阈值误报时应该怎么排查？,针对 VB-300 的振动阈值误报，建议先检查安装底座、阈值模板、采样频率和设备工况变化。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查安装底座、阈值模板、采样频率和设备工况变化
FAQ-080,振动监测,VB-300,v1.2.0,平台告警延迟,E303,中,FAQ,VB-300 出现平台告警延迟时应该怎么排查？,针对 VB-300 的平台告警延迟，建议先检查上报频率、消息队列积压、规则引擎状态和网络延迟。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查上报频率、消息队列积压、规则引擎状态和网络延迟
