chunk_id,source_type,title,product_line,device_model,error_code,issue_type,content
FAQ-017,FAQ,GW-200 出现电压数据异常时应该怎么排查？,工业网关,GW-200,E208,电压数据异常,"GW-200 出现电压数据异常时应该怎么排查？
针对 GW-200 的电压数据异常，建议先核对互感器方向、倍率参数、接线相序和采样通道。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：核对互感器方向、倍率参数、接线相序和采样通道"
FAQ-018,FAQ,GW-200 出现温度数据漂移时应该怎么排查？,工业网关,GW-200,E301,温度数据漂移,"GW-200 出现温度数据漂移时应该怎么排查？
针对 GW-200 的温度数据漂移，建议先检查安装位置、校准日期、补偿参数和传感器老化情况。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查安装位置、校准日期、补偿参数和传感器老化情况"
FAQ-019,FAQ,GW-200 出现振动阈值误报时应该怎么排查？,工业网关,GW-200,E302,振动阈值误报,"GW-200 出现振动阈值误报时应该怎么排查？
针对 GW-200 的振动阈值误报，建议先检查安装底座、阈值模板、采样频率和设备工况变化。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查安装底座、阈值模板、采样频率和设备工况变化"
FAQ-020,FAQ,GW-200 出现平台告警延迟时应该怎么排查？,工业网关,GW-200,E303,平台告警延迟,"GW-200 出现平台告警延迟时应该怎么排查？
针对 GW-200 的平台告警延迟，建议先检查上报频率、消息队列积压、规则引擎状态和网络延迟。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查上报频率、消息队列积压、规则引擎状态和网络延迟"
FAQ-021,FAQ,GW-500 出现设备离线时应该怎么排查？,工业网关,GW-500,E304,设备离线,"GW-500 出现设备离线时应该怎么排查？
针对 GW-500 的设备离线，建议先检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间"
FAQ-022,FAQ,GW-500 出现MQTT 连接超时时应该怎么排查？,工业网关,GW-500,E305,MQTT 连接超时,"GW-500 出现MQTT 连接超时时应该怎么排查？
针对 GW-500 的MQTT 连接超时，建议先核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略"
FAQ-023,FAQ,GW-500 出现固件升级失败时应该怎么排查？,工业网关,GW-500,E306,固件升级失败,"GW-500 出现固件升级失败时应该怎么排查？
针对 GW-500 的固件升级失败，建议先确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用"
FAQ-024,FAQ,GW-500 出现传感器采样异常时应该怎么排查？,工业网关,GW-500,E307,传感器采样异常,"GW-500 出现传感器采样异常时应该怎么排查？
针对 GW-500 的传感器采样异常，建议先检查采样周期、探头接线、量程配置、校准系数和环境干扰。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查采样周期、探头接线、量程配置、校准系数和环境干扰"
FAQ-025,FAQ,GW-500 出现网关心跳丢失时应该怎么排查？,工业网关,GW-500,E308,网关心跳丢失,"GW-500 出现网关心跳丢失时应该怎么排查？
针对 GW-500 的网关心跳丢失，建议先查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态"
FAQ-026,FAQ,GW-500 出现设备绑定失败时应该怎么排查？,工业网关,GW-500,E401,设备绑定失败,"GW-500 出现设备绑定失败时应该怎么排查？
针对 GW-500 的设备绑定失败，建议先确认 SN/IMEI 未被占用、租户信息正确、二维码未过期。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：确认 SN/IMEI 未被占用、租户信息正确、二维码未过期"
FAQ-027,FAQ,GW-500 出现电压数据异常时应该怎么排查？,工业网关,GW-500,E402,电压数据异常,"GW-500 出现电压数据异常时应该怎么排查？
针对 GW-500 的电压数据异常，建议先核对互感器方向、倍率参数、接线相序和采样通道。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：核对互感器方向、倍率参数、接线相序和采样通道"
FAQ-028,FAQ,GW-500 出现温度数据漂移时应该怎么排查？,工业网关,GW-500,E403,温度数据漂移,"GW-500 出现温度数据漂移时应该怎么排查？
针对 GW-500 的温度数据漂移，建议先检查安装位置、校准日期、补偿参数和传感器老化情况。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查安装位置、校准日期、补偿参数和传感器老化情况"
FAQ-029,FAQ,GW-500 出现振动阈值误报时应该怎么排查？,工业网关,GW-500,E404,振动阈值误报,"GW-500 出现振动阈值误报时应该怎么排查？
针对 GW-500 的振动阈值误报，建议先检查安装底座、阈值模板、采样频率和设备工况变化。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查安装底座、阈值模板、采样频率和设备工况变化"
FAQ-030,FAQ,GW-500 出现平台告警延迟时应该怎么排查？,工业网关,GW-500,E101,平台告警延迟,"GW-500 出现平台告警延迟时应该怎么排查？
针对 GW-500 的平台告警延迟，建议先检查上报频率、消息队列积压、规则引擎状态和网络延迟。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查上报频率、消息队列积压、规则引擎状态和网络延迟"
FAQ-031,FAQ,TH-10 出现设备离线时应该怎么排查？,环境传感器,TH-10,E102,设备离线,"TH-10 出现设备离线时应该怎么排查？
针对 TH-10 的设备离线，建议先检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间"
FAQ-032,FAQ,TH-10 出现MQTT 连接超时时应该怎么排查？,环境传感器,TH-10,E103,MQTT 连接超时,"TH-10 出现MQTT 连接超时时应该怎么排查？
针对 TH-10 的MQTT 连接超时，建议先核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略"
FAQ-033,FAQ,TH-10 出现固件升级失败时应该怎么排查？,环境传感器,TH-10,E104,固件升级失败,"TH-10 出现固件升级失败时应该怎么排查？
针对 TH-10 的固件升级失败，建议先确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用"
FAQ-034,FAQ,TH-10 出现传感器采样异常时应该怎么排查？,环境传感器,TH-10,E105,传感器采样异常,"TH-10 出现传感器采样异常时应该怎么排查？
针对 TH-10 的传感器采样异常，建议先检查采样周期、探头接线、量程配置、校准系数和环境干扰。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查采样周期、探头接线、量程配置、校准系数和环境干扰"
FAQ-035,FAQ,TH-10 出现网关心跳丢失时应该怎么排查？,环境传感器,TH-10,E106,网关心跳丢失,"TH-10 出现网关心跳丢失时应该怎么排查？
针对 TH-10 的网关心跳丢失，建议先查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态"
FAQ-036,FAQ,TH-10 出现设备绑定失败时应该怎么排查？,环境传感器,TH-10,E107,设备绑定失败,"TH-10 出现设备绑定失败时应该怎么排查？
针对 TH-10 的设备绑定失败，建议先确认 SN/IMEI 未被占用、租户信息正确、二维码未过期。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：确认 SN/IMEI 未被占用、租户信息正确、二维码未过期"
FAQ-037,FAQ,TH-10 出现电压数据异常时应该怎么排查？,环境传感器,TH-10,E108,电压数据异常,"TH-10 出现电压数据异常时应该怎么排查？
针对 TH-10 的电压数据异常，建议先核对互感器方向、倍率参数、接线相序和采样通道。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：核对互感器方向、倍率参数、接线相序和采样通道"
FAQ-038,FAQ,TH-10 出现温度数据漂移时应该怎么排查？,环境传感器,TH-10,E109,温度数据漂移,"TH-10 出现温度数据漂移时应该怎么排查？
针对 TH-10 的温度数据漂移，建议先检查安装位置、校准日期、补偿参数和传感器老化情况。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查安装位置、校准日期、补偿参数和传感器老化情况"
FAQ-039,FAQ,TH-10 出现振动阈值误报时应该怎么排查？,环境传感器,TH-10,E110,振动阈值误报,"TH-10 出现振动阈值误报时应该怎么排查？
针对 TH-10 的振动阈值误报，建议先检查安装底座、阈值模板、采样频率和设备工况变化。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查安装底座、阈值模板、采样频率和设备工况变化"
FAQ-040,FAQ,TH-10 出现平台告警延迟时应该怎么排查？,环境传感器,TH-10,E201,平台告警延迟,"TH-10 出现平台告警延迟时应该怎么排查？
针对 TH-10 的平台告警延迟，建议先检查上报频率、消息队列积压、规则引擎状态和网络延迟。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查上报频率、消息队列积压、规则引擎状态和网络延迟"
FAQ-041,FAQ,TH-30 出现设备离线时应该怎么排查？,环境传感器,TH-30,E202,设备离线,"TH-30 出现设备离线时应该怎么排查？
针对 TH-30 的设备离线，建议先检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间"
FAQ-042,FAQ,TH-30 出现MQTT 连接超时时应该怎么排查？,环境传感器,TH-30,E203,MQTT 连接超时,"TH-30 出现MQTT 连接超时时应该怎么排查？
针对 TH-30 的MQTT 连接超时，建议先核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略"
FAQ-043,FAQ,TH-30 出现固件升级失败时应该怎么排查？,环境传感器,TH-30,E204,固件升级失败,"TH-30 出现固件升级失败时应该怎么排查？
针对 TH-30 的固件升级失败，建议先确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用"
FAQ-044,FAQ,TH-30 出现传感器采样异常时应该怎么排查？,环境传感器,TH-30,E205,传感器采样异常,"TH-30 出现传感器采样异常时应该怎么排查？
针对 TH-30 的传感器采样异常，建议先检查采样周期、探头接线、量程配置、校准系数和环境干扰。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查采样周期、探头接线、量程配置、校准系数和环境干扰"
FAQ-045,FAQ,TH-30 出现网关心跳丢失时应该怎么排查？,环境传感器,TH-30,E206,网关心跳丢失,"TH-30 出现网关心跳丢失时应该怎么排查？
针对 TH-30 的网关心跳丢失，建议先查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态"
FAQ-046,FAQ,TH-30 出现设备绑定失败时应该怎么排查？,环境传感器,TH-30,E207,设备绑定失败,"TH-30 出现设备绑定失败时应该怎么排查？
针对 TH-30 的设备绑定失败，建议先确认 SN/IMEI 未被占用、租户信息正确、二维码未过期。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：确认 SN/IMEI 未被占用、租户信息正确、二维码未过期"
FAQ-047,FAQ,TH-30 出现电压数据异常时应该怎么排查？,环境传感器,TH-30,E208,电压数据异常,"TH-30 出现电压数据异常时应该怎么排查？
针对 TH-30 的电压数据异常，建议先核对互感器方向、倍率参数、接线相序和采样通道。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：核对互感器方向、倍率参数、接线相序和采样通道"
FAQ-048,FAQ,TH-30 出现温度数据漂移时应该怎么排查？,环境传感器,TH-30,E301,温度数据漂移,"TH-30 出现温度数据漂移时应该怎么排查？
针对 TH-30 的温度数据漂移，建议先检查安装位置、校准日期、补偿参数和传感器老化情况。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查安装位置、校准日期、补偿参数和传感器老化情况"
FAQ-049,FAQ,TH-30 出现振动阈值误报时应该怎么排查？,环境传感器,TH-30,E302,振动阈值误报,"TH-30 出现振动阈值误报时应该怎么排查？
针对 TH-30 的振动阈值误报，建议先检查安装底座、阈值模板、采样频率和设备工况变化。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查安装底座、阈值模板、采样频率和设备工况变化"
FAQ-050,FAQ,TH-30 出现平台告警延迟时应该怎么排查？,环境传感器,TH-30,E303,平台告警延迟,"TH-30 出现平台告警延迟时应该怎么排查？
针对 TH-30 的平台告警延迟，建议先检查上报频率、消息队列积压、规则引擎状态和网络延迟。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查上报频率、消息队列积压、规则引擎状态和网络延迟"
FAQ-051,FAQ,AQ-20 出现设备离线时应该怎么排查？,环境传感器,AQ-20,E304,设备离线,"AQ-20 出现设备离线时应该怎么排查？
针对 AQ-20 的设备离线，建议先检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间"
FAQ-052,FAQ,AQ-20 出现MQTT 连接超时时应该怎么排查？,环境传感器,AQ-20,E305,MQTT 连接超时,"AQ-20 出现MQTT 连接超时时应该怎么排查？
针对 AQ-20 的MQTT 连接超时，建议先核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略"
FAQ-053,FAQ,AQ-20 出现固件升级失败时应该怎么排查？,环境传感器,AQ-20,E306,固件升级失败,"AQ-20 出现固件升级失败时应该怎么排查？
针对 AQ-20 的固件升级失败，建议先确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用"
FAQ-054,FAQ,AQ-20 出现传感器采样异常时应该怎么排查？,环境传感器,AQ-20,E307,传感器采样异常,"AQ-20 出现传感器采样异常时应该怎么排查？
针对 AQ-20 的传感器采样异常，建议先检查采样周期、探头接线、量程配置、校准系数和环境干扰。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查采样周期、探头接线、量程配置、校准系数和环境干扰"
FAQ-055,FAQ,AQ-20 出现网关心跳丢失时应该怎么排查？,环境传感器,AQ-20,E308,网关心跳丢失,"AQ-20 出现网关心跳丢失时应该怎么排查？
针对 AQ-20 的网关心跳丢失，建议先查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态"
FAQ-056,FAQ,AQ-20 出现设备绑定失败时应该怎么排查？,环境传感器,AQ-20,E401,设备绑定失败,"AQ-20 出现设备绑定失败时应该怎么排查？
针对 AQ-20 的设备绑定失败，建议先确认 SN/IMEI 未被占用、租户信息正确、二维码未过期。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：确认 SN/IMEI 未被占用、租户信息正确、二维码未过期"
FAQ-057,FAQ,AQ-20 出现电压数据异常时应该怎么排查？,环境传感器,AQ-20,E402,电压数据异常,"AQ-20 出现电压数据异常时应该怎么排查？
针对 AQ-20 的电压数据异常，建议先核对互感器方向、倍率参数、接线相序和采样通道。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：核对互感器方向、倍率参数、接线相序和采样通道"
FAQ-058,FAQ,AQ-20 出现温度数据漂移时应该怎么排查？,环境传感器,AQ-20,E403,温度数据漂移,"AQ-20 出现温度数据漂移时应该怎么排查？
针对 AQ-20 的温度数据漂移，建议先检查安装位置、校准日期、补偿参数和传感器老化情况。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查安装位置、校准日期、补偿参数和传感器老化情况"
FAQ-059,FAQ,AQ-20 出现振动阈值误报时应该怎么排查？,环境传感器,AQ-20,E404,振动阈值误报,"AQ-20 出现振动阈值误报时应该怎么排查？
针对 AQ-20 的振动阈值误报，建议先检查安装底座、阈值模板、采样频率和设备工况变化。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查安装底座、阈值模板、采样频率和设备工况变化"
FAQ-060,FAQ,AQ-20 出现平台告警延迟时应该怎么排查？,环境传感器,AQ-20,E101,平台告警延迟,"AQ-20 出现平台告警延迟时应该怎么排查？
针对 AQ-20 的平台告警延迟，建议先检查上报频率、消息队列积压、规则引擎状态和网络延迟。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查上报频率、消息队列积压、规则引擎状态和网络延迟"
FAQ-061,FAQ,VB-100 出现设备离线时应该怎么排查？,振动监测,VB-100,E102,设备离线,"VB-100 出现设备离线时应该怎么排查？
针对 VB-100 的设备离线，建议先检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间"
FAQ-062,FAQ,VB-100 出现MQTT 连接超时时应该怎么排查？,振动监测,VB-100,E103,MQTT 连接超时,"VB-100 出现MQTT 连接超时时应该怎么排查？
针对 VB-100 的MQTT 连接超时，建议先核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略"
FAQ-063,FAQ,VB-100 出现固件升级失败时应该怎么排查？,振动监测,VB-100,E104,固件升级失败,"VB-100 出现固件升级失败时应该怎么排查？
针对 VB-100 的固件升级失败，建议先确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用"
FAQ-064,FAQ,VB-100 出现传感器采样异常时应该怎么排查？,振动监测,VB-100,E105,传感器采样异常,"VB-100 出现传感器采样异常时应该怎么排查？
针对 VB-100 的传感器采样异常，建议先检查采样周期、探头接线、量程配置、校准系数和环境干扰。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查采样周期、探头接线、量程配置、校准系数和环境干扰"
FAQ-065,FAQ,VB-100 出现网关心跳丢失时应该怎么排查？,振动监测,VB-100,E106,网关心跳丢失,"VB-100 出现网关心跳丢失时应该怎么排查？
针对 VB-100 的网关心跳丢失，建议先查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态"
FAQ-066,FAQ,VB-100 出现设备绑定失败时应该怎么排查？,振动监测,VB-100,E107,设备绑定失败,"VB-100 出现设备绑定失败时应该怎么排查？
针对 VB-100 的设备绑定失败，建议先确认 SN/IMEI 未被占用、租户信息正确、二维码未过期。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：确认 SN/IMEI 未被占用、租户信息正确、二维码未过期"
FAQ-067,FAQ,VB-100 出现电压数据异常时应该怎么排查？,振动监测,VB-100,E108,电压数据异常,"VB-100 出现电压数据异常时应该怎么排查？
针对 VB-100 的电压数据异常，建议先核对互感器方向、倍率参数、接线相序和采样通道。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：核对互感器方向、倍率参数、接线相序和采样通道"
FAQ-068,FAQ,VB-100 出现温度数据漂移时应该怎么排查？,振动监测,VB-100,E109,温度数据漂移,"VB-100 出现温度数据漂移时应该怎么排查？
针对 VB-100 的温度数据漂移，建议先检查安装位置、校准日期、补偿参数和传感器老化情况。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查安装位置、校准日期、补偿参数和传感器老化情况"
FAQ-069,FAQ,VB-100 出现振动阈值误报时应该怎么排查？,振动监测,VB-100,E110,振动阈值误报,"VB-100 出现振动阈值误报时应该怎么排查？
针对 VB-100 的振动阈值误报，建议先检查安装底座、阈值模板、采样频率和设备工况变化。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查安装底座、阈值模板、采样频率和设备工况变化"
FAQ-070,FAQ,VB-100 出现平台告警延迟时应该怎么排查？,振动监测,VB-100,E201,平台告警延迟,"VB-100 出现平台告警延迟时应该怎么排查？
针对 VB-100 的平台告警延迟，建议先检查上报频率、消息队列积压、规则引擎状态和网络延迟。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查上报频率、消息队列积压、规则引擎状态和网络延迟"
